sl no,Detection Name,Category,TTP,Severity
2456,Suspicious Encoded And Obfuscated Reflection Assembly Load Function Call,windows,"T1059.001, T1027",high
2457,Suspicious Encoded PowerShell Command Line,windows,T1059.001,high
2458,Suspicious Encoded Scripts in a WMI Consumer,windows,"T1047, T1546.003",high
2459,Suspicious Environment Variable Has Been Registered,windows,,high
2460,Suspicious Eventlog Clear,windows,T1685.005,medium
2461,Suspicious Eventlog Clearing or Configuration Change Activity,windows,"T1685.005, T1685.001",high
2462,Suspicious Executable File Creation,windows,T1564,high
2463,Suspicious Execution From Outlook Temporary Folder,windows,T1566.001,high
2464,Suspicious Execution Location Of Wermgr.EXE,windows,,high
2465,Suspicious Execution of Hostname,windows,T1082,low
2466,Suspicious Execution of InstallUtil Without Log,windows,,medium
2467,Suspicious Execution of Powershell with Base64,windows,T1059.001,medium
2468,Suspicious Execution Of Renamed Sysinternals Tools - Registry,windows,T1588.002,high
2469,Suspicious Execution of Shutdown,windows,T1529,medium
2470,Suspicious Execution of Shutdown to Log Out,windows,T1529,medium
2471,Suspicious Execution of Systeminfo,windows,T1082,low
2472,Suspicious Explorer Process with Whitespace Padding - ClickFix/FileFix,windows,"T1204.004, T1027.010",high
2473,Suspicious Extrac32 Alternate Data Stream Execution,windows,T1564.004,medium
2474,Suspicious Extrac32 Execution,windows,T1105,medium
2475,Suspicious File Access to Browser Credential Storage,windows,"T1555.003, T1217",low
2476,Suspicious File Characteristics Due to Missing Fields,windows,T1059.006,medium
2477,Suspicious File Created by ArcSOC.exe,windows,"T1127, T1105, T1133",high
2478,Suspicious File Created in Outlook Temporary Directory,windows,T1566.001,high
2479,Suspicious File Created In PerfLogs,windows,T1059,medium
2480,Suspicious File Created Via OneNote Application,windows,,high
2481,Suspicious File Creation Activity From Fake Recycle.Bin Folder,windows,,high
2482,Suspicious File Creation In Uncommon AppData Folder,windows,,high
2483,Suspicious File Download From File Sharing Domain Via Curl.EXE,windows,,high
2484,Suspicious File Download From File Sharing Domain Via Wget.EXE,windows,,high
2485,Suspicious File Download From File Sharing Websites -  File Stream,windows,T1564.004,high
2486,Suspicious File Download From IP Via Curl.EXE,windows,,high
2487,Suspicious File Download From IP Via Wget.EXE,windows,,high
2488,Suspicious File Download From IP Via Wget.EXE - Paths,windows,,high
2489,Suspicious File Downloaded From Direct IP Via Certutil.EXE,windows,"T1027, T1105",high
2490,Suspicious File Downloaded From File-Sharing Website Via Certutil.EXE,windows,"T1027, T1105",high
2491,Suspicious File Drop by Exchange,windows,"T1190, T1505.003",medium
2492,Suspicious File Encoded To Base64 Via Certutil.EXE,windows,T1027,high
2493,Suspicious File Execution From Internet Hosted WebDav Share,windows,T1059.001,high
2494,Suspicious File Write to SharePoint Layouts Directory,windows,"T1190, T1505.003",high
2495,Suspicious File Write to Webapps Root Directory,windows,"T1505.003, T1190",medium
2496,Suspicious FileFix Execution Pattern,windows,T1204.004,high
2497,Suspicious Files in Default GPO Folder,windows,T1036.005,medium
2498,Suspicious FromBase64String Usage On Gzip Archive - Process Creation,windows,T1132.001,medium
2499,Suspicious FromBase64String Usage On Gzip Archive - Ps Script,windows,T1132.001,medium
2500,Suspicious Get Information for SMB Share,windows,T1069.001,low
2501,Suspicious Get Information for SMB Share - PowerShell Module,windows,T1069.001,low
2502,Suspicious Get Local Groups Information,windows,T1069.001,low
2503,Suspicious Get Local Groups Information - PowerShell,windows,T1069.001,low
2504,Suspicious Get-ADDBAccount Usage,windows,T1003.003,high
2505,Suspicious Get-ADReplAccount,windows,T1003.006,medium
2506,Suspicious Get-Variable.exe Creation,windows,"T1546, T1027",high
2507,Suspicious GetTypeFromCLSID ShellExecute,windows,T1546.015,medium
2508,Suspicious Git Clone,windows,T1593.003,medium
2509,Suspicious GPO Discovery With Get-GPO,windows,T1615,low
2510,Suspicious Greedy Compression Using Rar.EXE,windows,T1059,high
2511,Suspicious Group And Account Reconnaissance Activity Using Net.EXE,windows,"T1087.001, T1087.002",medium
2512,Suspicious GrpConv Execution,windows,T1547,high
2513,Suspicious GUP Usage,windows,T1574.001,high
2514,Suspicious HH.EXE Execution,windows,"T1047, T1059.001, T1059.003, T1059.005, T1059.007, T1218, T1218.001, T1218.010, T1218.011, T1566, T1566.001",high
