sl no,Detection Name,Category,TTP,Severity
2464,Shadow Copies Creation Using Operating Systems Utilities,windows,"T1003, T1003.002, T1003.003",medium
2465,Shadow Copies Deletion Using Operating Systems Utilities,windows,"T1070, T1490",high
2466,Share And Session Enumeration Using Net.EXE,windows,T1018,low
2467,Shell Open Registry Keys Manipulation,windows,"T1548.002, T1546.001",high
2468,Shell Process Spawned by Java.EXE,windows,,medium
2469,Shell32 DLL Execution in Suspicious Directory,windows,T1218.011,high
2470,ShimCache Flush,windows,T1112,high
2471,Silence.EDA Detection,windows,"T1059.001, T1071.004, T1572, T1529",critical
2472,Silenttrinity Stager Msbuild Activity,windows,T1127.001,high
2473,Sliver C2 Default Service Installation,windows,"T1543.003, T1569.002",high
2474,SMB Create Remote File Admin Share,windows,T1021.002,high
2475,smbexec.py Service Installation,windows,"T1021.002, T1569.002",high
2476,SQL Client Tools PowerShell Session Detection,windows,"T1059.001, T1127",medium
2477,SQLite Chromium Profile Data DB Access,windows,"T1539, T1555.003, T1005",high
2478,SQLite Firefox Profile Data DB Access,windows,"T1539, T1005",high
2479,Standard User In High Privileged Group,windows,,medium
2480,Start of NT Virtual DOS Machine,windows,,medium
2481,Start Windows Service Via Net.EXE,windows,T1569.002,low
2482,Startup Folder File Write,windows,T1547.001,medium
2483,Startup/Logon Script Added to Group Policy Object,windows,"T1484.001, T1547",medium
2484,Sticky Key Like Backdoor Execution,windows,T1546.008,critical
2485,Sticky Key Like Backdoor Usage - Registry,windows,T1546.008,critical
2486,Stop Windows Service Via Net.EXE,windows,T1489,low
2487,Stop Windows Service Via PowerShell Stop-Service,windows,T1489,low
2488,Stop Windows Service Via Sc.EXE,windows,T1489,low
2489,Successful Account Login Via WMI,windows,T1047,low
2490,Successful Overpass the Hash Attempt,windows,T1550.002,high
2491,Suspect Svchost Activity,windows,T1055,high
2492,Suspicious Access to Sensitive File Extensions,windows,T1039,medium
2493,Suspicious Active Directory Database Snapshot Via ADExplorer,windows,"T1087.002, T1069.002, T1482",high
2494,Suspicious AddinUtil.EXE CommandLine Execution,windows,T1218,high
2495,Suspicious Advpack Call Via Rundll32.EXE,windows,,high
2496,Suspicious AgentExecutor PowerShell Execution,windows,T1218,high
2497,Suspicious Appended Extension,windows,T1486,medium
2498,Suspicious Application Allowed Through Exploit Guard,windows,T1685,high
2499,Suspicious Application Installed,windows,,medium
2500,Suspicious ArcSOC.exe Child Process,windows,"T1059, T1203",high
2501,Suspicious ASPX File Drop by Exchange,windows,T1505.003,high
2502,Suspicious Autorun Registry Modified via WMI,windows,"T1547.001, T1047",high
2503,Suspicious Binaries and Scripts in Public Folder,windows,T1204,high
2504,Suspicious Binary In User Directory Spawned From Office Application,windows,T1204.002,high
2505,Suspicious Binary Writes Via AnyDesk,windows,T1219.002,high
2506,Suspicious BitLocker Access Agent Update Utility Execution,windows,"T1218, T1021.003",high
2507,Suspicious Cabinet File Execution Via Msdt.EXE,windows,T1202,medium
